"year_hour","date","hour","load","wind","solar","price","date_time"
1,2014-01-01,1,46065,8503.5,0,15.15,"2014-01-01 00:00"
2,2014-01-01,2,44399,8086.25,0,12.96,"2014-01-01 01:00"
3,2014-01-01,3,42637,8803.25,0,12.09,"2014-01-01 02:00"
4,2014-01-01,4,41576,8969.5,0,11.7,"2014-01-01 03:00"
5,2014-01-01,5,40798,8509.5,0,11.66,"2014-01-01 04:00"
6,2014-01-01,6,39851,8360.25,0,11.35,"2014-01-01 05:00"
7,2014-01-01,7,38102,8046.75,0,9.85,"2014-01-01 06:00"
8,2014-01-01,8,38397,8232.5,0.75,9.54,"2014-01-01 07:00"
9,2014-01-01,9,39013,8380.5,170.75,9.49,"2014-01-01 08:00"
10,2014-01-01,10,41423,8084.5,1332,11.64,"2014-01-01 09:00"
11,2014-01-01,11,43640,7011.25,3395.75,11.94,"2014-01-01 10:00"
12,2014-01-01,12,46097,6630.25,5247.5,13.15,"2014-01-01 11:00"
13,2014-01-01,13,47080,5944.5,6546.25,15.24,"2014-01-01 12:00"
14,2014-01-01,14,46481,5598.25,6490.75,13.69,"2014-01-01 13:00"
15,2014-01-01,15,46090,5391.75,4792.75,16.96,"2014-01-01 14:00"
16,2014-01-01,16,46631,5780.75,2210,26.06,"2014-01-01 15:00"
17,2014-01-01,17,49624,7947.75,304.5,32.11,"2014-01-01 16:00"
18,2014-01-01,18,54338,9822.25,1.25,32.88,"2014-01-01 17:00"
19,2014-01-01,19,55029,11035.5,0,32.22,"2014-01-01 18:00"
20,2014-01-01,20,54283,12357.25,0,30.63,"2014-01-01 19:00"
21,2014-01-01,21,51880,12848.5,0,28.64,"2014-01-01 20:00"
22,2014-01-01,22,50477,12979.75,0,20.09,"2014-01-01 21:00"
23,2014-01-01,23,49953,13498.5,0,15.1,"2014-01-01 22:00"
24,2014-01-01,24,46719,13991,0,12.95,"2014-01-01 23:00"
25,2014-01-02,1,43315,13777.25,0,7.66,"2014-01-02 00:00"
26,2014-01-02,2,41083,13825.75,0,7.02,"2014-01-02 01:00"
27,2014-01-02,3,40425,14098.25,0,1.92,"2014-01-02 02:00"
28,2014-01-02,4,40638,14786.25,0,-0.04,"2014-01-02 03:00"
29,2014-01-02,5,41906,14998.25,0,0.06,"2014-01-02 04:00"
30,2014-01-02,6,44403,15127,0,7.06,"2014-01-02 05:00"
31,2014-01-02,7,49400,15705.25,0,11.8,"2014-01-02 06:00"
32,2014-01-02,8,55096,15864,0.25,21.31,"2014-01-02 07:00"
33,2014-01-02,9,59008,15299.25,94.75,30.44,"2014-01-02 08:00"
34,2014-01-02,10,61468,14664.5,607.25,30.63,"2014-01-02 09:00"
35,2014-01-02,11,63036,14265.75,1515.75,30.86,"2014-01-02 10:00"
36,2014-01-02,12,64424,13012.25,2396.5,33.78,"2014-01-02 11:00"
37,2014-01-02,13,64684,12137.5,3135.25,37.97,"2014-01-02 12:00"
38,2014-01-02,14,63933,12271.75,2987.75,37.42,"2014-01-02 13:00"
