cntry,country,pop,gdp,gov_debt,exports,imports
BEL,Belgium,11.43,436.28,460.9,380.39,365.92
BGR,Bulgaria,7.1,49.21,13.2,32.01,30.78
CZE,Czech Republic,10.59,183.59,66.5,151.05,138.06
DNK,Denmark,5.77,286.35,105.2,157.15,137.52
DEU,Germany,83.15,3228.44,2125.5,1527.95,1299.49
EST,Estonia,1.32,22.16,2.1,17.98,17.34
IRL,Ireland,4.8,279.72,205.7,336.12,271.86
GRC,Greece,10.78,181.65,324.7,58.04,59.26
ESP,Spain,46.45,1156.95,1147.2,396.88,365.24
FRA,France,67.1,2275.28,2204.6,692.57,736.68
HRV,Croatia,4.15,48.07,39.35,25.5,24.32
ITA,Italy,60.58,1701.38,2265,533.78,487.48
CYP,Cyprus,0.85,18.49,19.12,11.65,11.76
LVA,Latvia,1.95,26.62,10.24,15.71,16.13
LTU,Lithuania,2.83,40.91,17.36,31.11,30.99
LUX,Luxembourg,0.6,57.9,12.73,134.01,112.86
HUN,Hungary,9.8,119.82,86.93,111.33,101.69
MLT,Malta,0.44,10.52,5.87,14.89,13.66
NLD,Netherlands,17.14,718.41,429.4,601.27,526.96
AUT,Austria,8.81,360.33,298.3,191.01,177.59
POL,Poland,37.96,456.02,249.2,248.51,233.57
PRT,Portugal,10.31,190.88,245.2,79.63,78.17
ROM,Romania,19.58,178.31,70.03,77.56,80.99
SVN,Slovenia,2.07,41.71,32.43,34.2,30.33
SVK,Slovakia,5.43,84.04,43.32,81.87,79.2
FIN,Finland,5.52,217.91,142.7,80.8,84.35
SWE,Sweden,10.06,480.07,187.8,221.15,196.37
GBR,United Kingdom,66.05,2357.43,2089.3,692.2,743.18
