"country";"year";"exports";"imports"
"Belgium";1990;99,1392;96,9069
"Bulgaria";1990;NA;NA
"Czech Republic";1990;8,9268;8,2931
"Denmark";1990;39,664;33,6135
"Germany";1990;NA;NA
"Estonia";1990;NA;NA
"Ireland";1990;21,2413;19,5395
"Greece";1990;11,38592;19,53063
"Spain";1990;66,5917;83,629
"France";1990;209,0231;217,0711
"Croatia";1990;NA;NA
"Italy";1990;169,7632;167,9136
"Cyprus";1990;3,63022;3,80318
"Latvia";1990;NA;NA
"Lithuania";1990;NA;NA
"Luxembourg";1990;10,1912;8,8644
"Hungary";1990;4,5463;4,157
"Malta";1990;2,30492;2,51501
"Netherlands";1990;135,5963;123,2138
"Austria";1990;46,7904;46,8734
"Poland";1990;8,2833;6,1836
"Portugal";1990;17,88957;22,98853
"Romania";1990;3,03714;4,72845
"Slovenia";1990;NA;NA
"Slovakia";1990;NA;NA
"Finland";1990;24,66978;26,39534
"Sweden";1990;58,4584;57,1135
"United Kingdom";1990;194,8834;210,2805
"Belgium";1991;102,0142;99,463
"Bulgaria";1991;1,57706;1,04864
"Czech Republic";1991;9,7615;8,3461
"Denmark";1991;42,4326;35,4302
"Germany";1991;357,531;365,288
"Estonia";1991;NA;NA
"Ireland";1991;22,3928;20,4898
"Greece";1991;12,08284;20,75683
"Spain";1991;73,7264;91,5967
"France";1991;218,4614;221,8685
"Croatia";1991;NA;NA
"Italy";1991;171,7484;169,7797
"Cyprus";1991;3,52797;4,04737
"Latvia";1991;NA;NA
"Lithuania";1991;NA;NA
"Luxembourg";1991;11,3158;9,9606
"Hungary";1991;5,2484;5,3934
"Malta";1991;2,60717;2,76356
"Netherlands";1991;145,1324;131,2196
"Austria";1991;48,6383;49,8159
"Poland";1991;9,55;10,2717
"Portugal";1991;18,42948;25,18363
"Romania";1991;2,61308;3,1801
"Slovenia";1991;7,40522;6,66453
"Slovakia";1991;NA;NA
"Finland";1991;21,96971;22,95035
"Sweden";1991;58,7594;55,0514
"United Kingdom";1991;202,2899;205,6765
"Belgium";1992;106,1804;102,2105
"Bulgaria";1992;1,67767;1,39017
"Czech Republic";1992;10,6333;10,3155
"Denmark";1992;43,6782;35,5147
"Germany";1992;365,395;373,972
"Estonia";1992;NA;NA
"Ireland";1992;25,234;22,0949
"Greece";1992;13,34345;21,47353
"Spain";1992;79,0605;95,9844
"France";1992;230,2931;223,3106
"Croatia";1992;NA;NA
"Italy";1992;178,2091;177,7358
"Cyprus";1992;4,24509;4,89934
"Latvia";1992;0,80262;0,79335
"Lithuania";1992;0,2895;0,25987
"Luxembourg";1992;12,0097;10,0667
"Hungary";1992;4,8838;4,9163
"Malta";1992;2,89177;2,92848
"Netherlands";1992;148,8642;135,137
"Austria";1992;49,9935;51,9394
"Poland";1992;9,2709;8,6222
"Portugal";1992;19,4891;27,0669
"Romania";1992;2,43525;3,1552
"Slovenia";1992;5,73154;5,16396
"Slovakia";1992;NA;NA
"Finland";1992;22,17427;21,43912
"Sweden";1992;57,946;54,1804
"United Kingdom";1992;202,318;208,666
"Belgium";1993;107,2276;101,7355
"Bulgaria";1993;3,1996;2,83
"Czech Republic";1993;13,9044;13,5175
"Denmark";1993;44,7094;35,5056
"Germany";1993;359,48;358,341
"Estonia";1993;0,9827;1,04205
"Ireland";1993;28,1196;23,6238
"Greece";1993;13,0478;21,34254
"Spain";1993;79,523;85,8041
"France";1993;234,0438;215,3203
"Croatia";1993;NA;NA
"Italy";1993;185,6307;157,9605
"Cyprus";1993;4,28016;4,09158
"Latvia";1993;1,21238;1,0201
"Lithuania";1993;1,46713;1,68923
"Luxembourg";1993;13,6661;11,2322
"Hungary";1993;7,9407;10,3876
"Malta";1993;2,97763;3,08343
"Netherlands";1993;157,8649;138,5277
"Austria";1993;51,1415;51,6461
"Poland";1993;17,0465;16,2307
"Portugal";1993;18,62287;24,81241
"Romania";1993;5,09741;6,16561
"Slovenia";1993;5,96918;5,93209
"Slovakia";1993;6,47565;7,00713
"Finland";1993;23,88137;20,38299
"Sweden";1993;56,0878;50,0426
"United Kingdom";1993;218,2313;221,3954
"Belgium";1994;120,0908;113,3553
"Bulgaria";1994;3,32826;2,48855
"Czech Republic";1994;14,9396;15,4029
"Denmark";1994;48,526;40,7263
"Germany";1994;393,123;389,458
"Estonia";1994;1,46326;1,67394
"Ireland";1994;32,693;28,156
"Greece";1994;14,18858;21,33052
"Spain";1994;91,0241;94,9416
"France";1994;253,7204;236,5946
"Croatia";1994;NA;NA
"Italy";1994;202,3934;171,9571
"Cyprus";1994;4,78366;4,569
"Latvia";1994;1,27953;1,32244
"Lithuania";1994;1,54322;1,79967
"Luxembourg";1994;15,4893;12,4881
"Hungary";1994;9,208;11,2477
"Malta";1994;3,29203;3,42099
"Netherlands";1994;173,9426;152,687
"Austria";1994;55,219;58,0375
"Poland";1994;19,9435;18,032
"Portugal";1994;20,6007;27,0312
"Romania";1994;6,15541;6,63061
"Slovenia";1994;6,82328;6,65673
"Slovakia";1994;7,7789;7,08645
"Finland";1994;29,66445;24,74614
"Sweden";1994;65,6618;57,9436
"United Kingdom";1994;242,5829;242,6769
"Belgium";1995;131,7234;124,0535
"Bulgaria";1995;4,69522;3,32814
"Czech Republic";1995;18,4724;19,8879
"Denmark";1995;51,8607;45,1997
"Germany";1995;436,181;426,902
"Estonia";1995;1,9692;2,18687
"Ireland";1995;38,8783;33,0948
"Greece";1995;15,09779;23,74005
"Spain";1995;102,8337;107,3659
"France";1995;275,9166;256,9548
"Croatia";1995;4,72978;6,14851
"Italy";1995;221,5913;188,6969
"Cyprus";1995;5,07132;5,13694
"Latvia";1995;1,43;1,6262
"Lithuania";1995;1,90332;2,4479
"Luxembourg";1995;16,917;13,5599
"Hungary";1995;13,884;13,8725
"Malta";1995;3,45908;3,7259
"Netherlands";1995;196,7906;173,4055
"Austria";1995;61,8187;63,959
"Poland";1995;24,9618;22,5236
"Portugal";1995;24,36324;30,1669
"Romania";1995;7,3281;8,76659
"Slovenia";1995;7,42468;7,79093
"Slovakia";1995;8,64976;8,3245
"Finland";1995;36,71041;29,05711
"Sweden";1995;76,7053;63,8306
"United Kingdom";1995;256,7348;253,8463
"Belgium";1996;133,9805;127,7168
"Bulgaria";1996;4,7111;3,62569
"Czech Republic";1996;20,2202;22,7846
"Denmark";1996;54,8775;46,5044
"Germany";1996;451,991;435,802
"Estonia";1996;2,31022;2,70301
"Ireland";1996;44,7206;38,1858
"Greece";1996;16,41688;26,66936
"Spain";1996;116,7729;117,2355
"France";1996;290,2688;268,5413
"Croatia";1996;5,73329;6,9515
"Italy";1996;244,9967;198,1581
"Cyprus";1996;5,53947;5,57368
"Latvia";1996;1,90098;2,32469
"Lithuania";1996;2,7697;3,38342
"Luxembourg";1996;18,2757;14,3956
"Hungary";1996;15,3823;15,1967
"Malta";1996;3,42041;3,70099
"Netherlands";1996;202,4281;180,7878
"Austria";1996;64,0351;66,9351
"Poland";1996;27,8399;29,4607
"Portugal";1996;25,65132;32,52594
"Romania";1996;7,68168;9,96561
"Slovenia";1996;7,81741;8,02881
"Slovakia";1996;8,88367;10,69308
