cntry,country,year,pop,unempl,gdp,gov_debt,date,exports,imports,debt_share_country,debt_share_year
BEL,Belgium,1991,10,6.4,171.1604,NA,1991-01-01,102.0142,99.463,NA,0.5702138121917117
BGR,Bulgaria,1991,8.63,NA,4.42781,NA,1991-01-01,1.57706,1.04864,NA,0.5702138121917117
CZE,Czech Republic,1991,10.31,NA,25.1827,NA,1991-01-01,9.7615,8.3461,NA,0.5702138121917117
DNK,Denmark,1991,5.15,7.9,112.6055,NA,1991-01-01,42.4326,35.4302,NA,0.5702138121917117
DEU,Germany,1991,80.01,5.6,1506.671,NA,1991-01-01,357.531,365.288,NA,0.5702138121917117
EST,Estonia,1991,1.56,NA,NA,NA,1991-01-01,NA,NA,NA,0.5702138121917117
IRL,Ireland,1991,3.53,14.7,40.3278,NA,1991-01-01,22.3928,20.4898,NA,0.5702138121917117
GRC,Greece,1991,10.32,7.1,85.0924,NA,1991-01-01,12.08284,20.75683,NA,0.5702138121917117
ESP,Spain,1991,38.97,15.5,465.557,NA,1991-01-01,73.7264,91.5967,NA,0.5702138121917117
FRA,France,1991,58.46,8.1,1032.017,NA,1991-01-01,218.4614,221.8685,NA,0.5702138121917117
HRV,Croatia,1991,4.69,NA,NA,NA,1991-01-01,NA,NA,NA,0.5702138121917117
ITA,Italy,1991,56.76,8.5,1005.013,947.8,1991-01-01,171.7484,169.7797,0.9430723781682425,0.5702138121917117
CYP,Cyprus,1991,0.6,NA,5.23251,NA,1991-01-01,3.52797,4.04737,NA,0.5702138121917117
LVA,Latvia,1991,2.65,0.5,NA,NA,1991-01-01,NA,NA,NA,0.5702138121917117
LTU,Lithuania,1991,3.7,0.3,NA,NA,1991-01-01,NA,NA,NA,0.5702138121917117
LUX,Luxembourg,1991,0.39,1.6,11.5827,NA,1991-01-01,11.3158,9.9606,NA,0.5702138121917117
HUN,Hungary,1991,10.37,NA,18.2107,NA,1991-01-01,5.2484,5.3934,NA,0.5702138121917117
MLT,Malta,1991,0.36,4.7,2.29976,NA,1991-01-01,2.60717,2.76356,NA,0.5702138121917117
NLD,Netherlands,1991,15.07,5.7,261.5725,NA,1991-01-01,145.1324,131.2196,NA,0.5702138121917117
AUT,Austria,1991,7.75,3.5,140.273,NA,1991-01-01,48.6383,49.8159,NA,0.5702138121917117
POL,Poland,1991,38.25,NA,44.8633,NA,1991-01-01,9.55,10.2717,NA,0.5702138121917117
PRT,Portugal,1991,9.96,5,72.534,NA,1991-01-01,18.42948,25.18363,NA,0.5702138121917117
ROM,Romania,1991,23,NA,16.0921,NA,1991-01-01,2.61308,3.1801,NA,0.5702138121917117
SVN,Slovenia,1991,2,NA,10.04382,NA,1991-01-01,7.40522,6.66453,NA,0.5702138121917117
SVK,Slovakia,1991,5.3,NA,NA,NA,1991-01-01,NA,NA,NA,0.5702138121917117
FIN,Finland,1991,5.01,6.6,103.3669,20.4,1991-01-01,21.96971,22.95035,0.19735524621518105,0.5702138121917117
SWE,Sweden,1991,8.62,3.1,217.195,NA,1991-01-01,58.7594,55.0514,NA,0.5702138121917117
GBR,United Kingdom,1991,57.42,8.6,995.758,NA,1991-01-01,202.2899,205.6765,NA,0.5702138121917117
BEL,Belgium,1992,10.05,7.1,182.4542,NA,1992-01-01,106.1804,102.2105,NA,0.5251686016132976
